5-concepts,GC,QC,QCG,ST,IB,MSM,SI,CV,CFC,CU,GE,CL
Basket-ecommerce,0.304559539619301,0.304559539619301,0.304559539619301,0.201859229747676,0.304559539619301,0.304559539619301,0.0128375387339531,0.0185922974767596,0.0123948649845064,0.299690128375387,0.304559539619301,0.307658255865427
Basket-grocery,0.286764705882353,0.200980392156863,0.200980392156863,0.247549019607843,0.247549019607843,0.183823529411765,0.017156862745098,0.132352941176471,0.017156862745098,0.240196078431373,0.284313725490196,0.377450980392157
Basket-Instacart,0.236210526315789,0.247368421052632,0.247368421052632,0.184210526315789,0.184210526315789,0.161052631578947,0.141684210526316,0.124210526315789,0.00252631578947368,0.184210526315789,0.247368421052632,0.302315789473684
House-votes,0.58350622406639,0.27152489626556,0.475622406639004,0.413381742738589,0.339470954356846,0.244035269709544,0.244035269709544,0.244035269709544,0.244035269709544,0.339470954356846,0.453578838174274,0.693724066390041
IAPB-students,0.712694537686909,0.202776930119011,0.202776930119011,0.19377479401892,0.209948123283491,0.502441257247482,0.503051571559353,0.528989929813854,0.494659749771132,0.169209642966128,0.270521818736649,0.80881904180653
STT,0.575546527374734,0.077577868059586,0.077577868059586,0.520216676339718,0.346682143548075,0.369317082607855,0.38750241826272,0.0698394273553879,0.38750241826272,0.346682143548075,0.588701876571871,0.637260591990714
Student-gradings,0.526131642247977,0.215613382899628,0.411327356221299,0.365186966980101,0.300021867483053,0.288869451126175,0.350098403673737,0.324732123332604,0.330855018587361,0.231357970697573,0.513667176907938,0.644216050732561
Zoo,0.725757575757576,0.545454545454545,0.701515151515152,0.483333333333333,0.360606060606061,0.387878787878788,0.387878787878788,0.387878787878788,0.386363636363636,0.360606060606061,0.727272727272727,0.936363636363636
Telecom,0.535568146049732,0.0552407932011331,0.0552407932011331,0.0155807365439093,0.017626691847655,0.302801384954359,0.303273528485993,0.362763613471829,0.362763613471829,0.0163676424299654,0.500314762354422,0.378344350015738
TTTH,0.561074505828687,0.157121135326913,0.157121135326913,0.46477445514445,0.326913329954384,0.357830714647745,0.366447034972124,0.125190065889508,0.426254434870755,0.326913329954384,0.532184490623416,0.624936644703497
